dataset_id,source_file,category,label,corruption_type,severity,n_records,notes
fabricated_level10_adversarial_1,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5000."
fabricated_level10_adversarial_2,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5001."
fabricated_level10_adversarial_3,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5002."
fabricated_level10_adversarial_4,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5003."
fabricated_level10_adversarial_5,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5004."
fabricated_level10_adversarial_6,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5005."
fabricated_level10_adversarial_7,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5006."
fabricated_level10_adversarial_8,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5007."
fabricated_level10_adversarial_9,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5008."
fabricated_level10_adversarial_10,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5009."
fabricated_level10_adversarial_11,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5010."
fabricated_level10_adversarial_12,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5011."
fabricated_level10_adversarial_13,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5012."
fabricated_level10_adversarial_14,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5013."
fabricated_level10_adversarial_15,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5014."
fabricated_level10_adversarial_16,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5015."
fabricated_level10_adversarial_17,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5016."
fabricated_level10_adversarial_18,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5017."
fabricated_level10_adversarial_19,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5018."
fabricated_level10_adversarial_20,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5019."
fabricated_level10_adversarial_21,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5020."
fabricated_level10_adversarial_22,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5021."
fabricated_level10_adversarial_23,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5022."
fabricated_level10_adversarial_24,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5023."
fabricated_level10_adversarial_25,"synthetic (calibration/corrupt.py, level 10)",fabricated_adversarial,known_bad,full_fabrication_adversarial,n/a,1500,"Level 10/10 (held out of calibration): ADVERSARIAL / HELD OUT -- everything above combined and deliberately tuned to game every remaining intrinsic check simultaneously (extends fabricate_sophisticated with the levels 6-9 metadata realism). NOT part of the calibration corpus: used only as a held-out probe in tests/test_adversarial.py, to avoid calibrating weights/thresholds against the exact adversarial construction being evaluated (circular calibration). seed=5024."
