dataset_id,label,n_records,a6_applicable,matched_fraction,n_stratum,mc_ref,mc_ref_is_default,hard_reject_would_fire,n_corroborated,n_contradicted_eligible,n_unverifiable,contradicted_confirmed,contradicted_p_value,hard_reject_reason,elapsed_sec,note
nz,known_good,20648.0,True,1.0,184.0,4.5,False,False,112.0,72.0,0.0,False,0.998792921157944,,117.25,"112/112 'Externally corroborated' of the records A6 actually forms a verdict on (184 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 72 contradicted-eligible, not statistically confirmed)."
chile,known_good,132964.0,True,1.0,5456.0,4.5,False,False,4328.0,1128.0,0.0,False,0.9999999999957256,,438.3,"4328/4328 'Externally corroborated' of the records A6 actually forms a verdict on (5456 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 1128 contradicted-eligible, not statistically confirmed)."
real_202505_tokyo,known_good,2.0,False,,0.0,,,False,,,,,,,3.78,No records at/above reference-complete stratum (Mc_ref=4.50 + SE nan). A(D) falls back to intrinsic-only A1-A5 for the whole dataset.
real_202506_turkey,known_good,6.0,False,,0.0,,,False,,,,,,,4.23,No records at/above reference-complete stratum (Mc_ref=4.90 + SE nan). A(D) falls back to intrinsic-only A1-A5 for the whole dataset.
real_202507_Kamchatka,known_good,250.0,True,1.0,141.0,4.5,False,False,140.0,1.0,0.0,False,1.0,,15.49,"140/140 'Externally corroborated' of the records A6 actually forms a verdict on (141 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 1 contradicted-eligible, not statistically confirmed)."
real_202509_Kamchatka,known_good,2665.0,True,1.0,1036.0,4.5,False,False,1036.0,0.0,0.0,False,1.0,,34.08,"1036/1036 'Externally corroborated' of the records A6 actually forms a verdict on (1036 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_202510_philippines,known_good,59.0,True,1.0,34.0,4.5,False,False,34.0,0.0,0.0,False,1.0,,5.85,"34/34 'Externally corroborated' of the records A6 actually forms a verdict on (34 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_2025_03_myanmar,known_good,43.0,True,1.0,17.0,4.5,False,False,17.0,0.0,0.0,False,,,4.76,"17/17 'Externally corroborated' of the records A6 actually forms a verdict on (17 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_202604_tohoku_japan,known_good,30.0,True,1.0,9.0,4.500000000000001,False,False,9.0,0.0,0.0,False,,,4.49,"9/9 'Externally corroborated' of the records A6 actually forms a verdict on (9 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_202606_philippines,known_good,47.0,True,1.0,41.0,4.5,False,False,40.0,1.0,0.0,False,0.9999999999995374,,5.31,"40/40 'Externally corroborated' of the records A6 actually forms a verdict on (41 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 1 contradicted-eligible, not statistically confirmed)."
real_afghanistan_20231008_query,known_good,329.0,True,1.0,56.0,4.5,False,False,56.0,0.0,0.0,False,1.0,,13.87,"56/56 'Externally corroborated' of the records A6 actually forms a verdict on (56 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_afghanistan_20231015_query,known_good,372.0,True,1.0,70.0,4.5,False,False,70.0,0.0,0.0,False,1.0,,16.5,"70/70 'Externally corroborated' of the records A6 actually forms a verdict on (70 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_afghanistan_2025_09_01,known_good,26.0,True,1.0,10.0,4.5,False,False,10.0,0.0,0.0,False,,,5.05,"10/10 'Externally corroborated' of the records A6 actually forms a verdict on (10 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_all_month,known_good,10607.0,True,1.0,296.0,4.5,False,False,296.0,0.0,0.0,False,1.0,,49.48,"296/296 'Externally corroborated' of the records A6 actually forms a verdict on (296 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_greece_2024_2025,known_good,282.0,True,1.0,64.0,4.5,False,False,64.0,0.0,0.0,False,1.0,,85.47,"64/64 'Externally corroborated' of the records A6 actually forms a verdict on (64 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_haiti_20210814_query,known_good,215.0,True,1.0,7.0,4.5,False,False,7.0,0.0,0.0,False,,,8.17,"7/7 'Externally corroborated' of the records A6 actually forms a verdict on (7 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_ishikawa_202401_query,known_good,169.0,True,1.0,50.0,4.5,False,False,50.0,0.0,0.0,False,1.0,,16.86,"50/50 'Externally corroborated' of the records A6 actually forms a verdict on (50 reference-complete-stratum total; 0 'Externally unverifiable' excluded and scored via intrinsic A1-A5 instead; 0 contradicted-eligible, not statistically confirmed)."
real_ishikawa_202411_query,known_good,4.0,False,,0.0,,,False,,,,,,,3.91,No records at/above reference-complete stratum (Mc_ref=4.50 + SE nan). A(D) falls back to intrinsic-only A1-A5 for the whole dataset.
